number,size,id,value,mandate
1,Size_6,Bust,34,0
2,Size_6,Waist,25.5,0
3,Size_6,Abdomen,32,0
4,Size_6,Hip,35.5,0
5,Size_6,Center_Length_Front,14.125,1
5,Size_6,Center_Length_Back,16.25,1
6,Size_6,Full_Length_Front,16.875,1
6,Size_6,Full_Length_Back,16.75,1
7,Size_6,Shoulder_Slope_Front,17.0635,1
7,Size_6,Shoulder_Slope_Back,16.3125,1
8,Size_6,New_Strap,17,1
9,Size_6,Bust_Depth,9.125,1
9,Size_6,Radius,3,0
10,Size_6,Bust_Span,3.625,1
11,Size_6,Side_Length,8.125,1
12,Size_6,Back_Neck,2.625,1
13,Size_6,Shoulder_Length,5.125,1
14,Size_6,Across_Shoulder_Front,7.5,0
14,Size_6,Across_Shoulder_Back,7.75,0
15,Size_6,Across_Chest,6.5,1
16,Size_6,Across_Back,6.75,1
17,Size_6,Bust_Arc,9.5,1
18,Size_6,Back_Arc,8.125,1
19,Size_6,Waist_Arc_Front,6.5,1
19,Size_6,Waist_Arc_Back,6.125,1
20,Size_6,Dart_Placement_Front,3,1
20,Size_6,Dart_Placement_Back,3,1
22,Size_6,Abdomen_Front,7.75,0
22,Size_6,Abdomen_Back,8,0
23,Size_6,Hip_Arc_Front,8.625,1
23,Size_6,Hip_Arc_Back,9.125,1
24,Size_6,Crotch_Depth,9.5,0
25,Size_6,Hip_Depth_Front,7.5,1
25,Size_6,Hip_Depth_Back,7.375,1
26,Size_6,Side_Hip_Depth,7.625,1
27,Size_6,Waist_To_Knee,22,1
27,Size_6,Waist_To_Ankle,37,0
27,Size_6,Waist_To_Floor,39,0
28,Size_6,Crotch_Length,24.5,0
28,Size_6,Vertical_Trunk,59,0
29,Size_6,Upper_Thigh,20,0
29,Size_6,Mid_Thigh,18.5,0
30,Size_6,Knee,13,0
31,Size_6,Calf,12.25,0
32,Size_6,Ankle,8.5,0
32,Size_6,Floor_Entry,12,0
Sleeve_1,Size_6,Sleeve_Length,21.5,1
Sleeve_2,Size_6,Cap_Height,5.5,1
Sleeve_3,Size_6,Biceps,12.25,1
